from,to
HSPB1,EEF1A1
HNRNPD,ACTB
ATP5F1A,ACTB
SQSTM1,CRYAB
NPM1,RPSA
RPL14,HEL-S-66p
RPL24,RPL34
RPS8,RPL9
RPL9,PHB1
RPS8,RPL27
HSPB1,MAP1B
PDHB,ANXA7
COL1A1,SERPINH1
NPM1,RPL13
RPL7A,RPL34
HMGB1,RPL13
HMGB1,RPL27
ACTB,ANXA7
RPS9,RPL7A
RPL12,RPL27
RPL7A,PHB1
RPL14,RPS3
DBN1,CALD1
BMP1,COL5A2
LGALS3,SQSTM1
RPS9,RPL18
RPS9,RPL5
AK2,CRIP1
MMP2,LGALS3
RPL24,RPS3
RPSA,TCP1
ANXA2,HMGA1
CTSD,SERPINH1
RPL14,RPL9
ATP5F1A,COL1A1
RPL14,PHB1
